"userID","zeit","guildID"
"824378909985341451",1136,"853365601783382047"
"830552140149686303",1557,"853365601783382047"
"853742600061714482",477,"984928443173068880"
"618805150756110336",1766,"925729625580113951"
"934790682793607199",1192,"948595942448320653"
"989404318086094898",1598,"925729625580113951"
"443789116484878336",1637,"925729625580113951"
"714361420409733171",508,"989961082833608795"
"840122604115329055",449,"925729625580113951"
"837044499346620448",615,"925729625580113951"
"422022707560054795",1513,"910508340835143693"
"706207165970513980",1132,"853365601783382047"
"857688824247091240",1381,"853365601783382047"
"808283660322078720",1469,"948595942448320653"
"948565546742452284",1046,"948595942448320653"
"487323623195934721",1280,"925729625580113951"
"785059784604778496",2405,"1034903696271753266"
"781840016158228480",1621,"898666069303119955"
"720239394770124802",1242,"925729625580113951"
"784708469495300106",1625,"989961082833608795"
"911519544638599239",860,"853365601783382047"
"888739074620399636",806,"853365601783382047"
"842052925978968125",1673,"853365601783382047"
"795773393420419112",997,"853365601783382047"
"738800213271117964",1819,"983384134439292938"
"851037560196169790",2332,"983384134439292938"
"701813696413827142",2748,"1006838511242059806"
"842105397271724082",1840,"853365601783382047"
"928380902814388334",1369,"853365601783382047"
"853202661272190987",1515,"853365601783382047"
"782276733616783390",2220,"853365601783382047"
"724315010389639208",2272,"853365601783382047"
"730734267704934422",2158,"925729625580113951"
"679706007219339376",1894,"811730903482761246"
"917384250775461999",1157,"777886844334505995"
"854429096560820284",1598,"777886844334505995"
"631176108372656148",1230,"925729625580113951"
"982432554932117574",6083,"811730903482761246"
"688080245403681005",1191,"979142025112858685"
"234528852867678212",1769,"1009613806617497660"
"702107838134091796",799,"999561154655440928"
"605488796871688198",1239,"999561154655440928"
"888393571881852965",2135,"999561154655440928"
"1008507757395185694",1258,"999561154655440928"
"781935605005287445",1415,"999561154655440928"
"637706528501268481",1174,"999561154655440928"
"966355430735495228",1030,"948595942448320653"
"805180370260983858",1525,"948595942448320653"
"374083438371930113",1987,"979142025112858685"
"525974888750645249",1014,"1014445347713593354"
"940070669729820733",1416,"948595942448320653"
"904666156772757524",1352,"989961082833608795"
"963303356443529246",2604,"964485182637871104"
"764173981707272242",2480,"948595942448320653"
"678201359652356106",2021,"999561154655440928"
"952173663233392650",1919,"948595942448320653"
"825400094936530975",2287,"948595942448320653"
"775433367595909129",502,"993887751785168906"
"915266458588688435",675,"937793977892077668"
"809389236179435541",953,"993887751785168906"
"1000265577463550032",1979,"937793977892077668"
"844982174947606620",1373,"937793977892077668"
"983782519277236255",949,"983806829165420596"
"699638749390307348",1549,"999561154655440928"
"909700322266607696",1344,"998640957211820133"
"1008975489962082374",1333,"1014116444897804408"
"403606660297261076",1075,"998640957211820133"
"737955549307600898",884,"951776421355868231"
"944309381720334417",2166,"998640957211820133"
"775242927948955692",1057,"998640957211820133"
"517367044048551938",1728,"998640957211820133"
"766642396238446632",1355,"983806829165420596"
"756219175424229578",2078,"999561154655440928"
"683055422650974448",4258,"768228694736371732"
