"guild_id","roleid","level"
"925729625580113951","926423703120646197",10
"925729625580113951","926423910222807060",20
"925729625580113951","926423841041956894",30
"925729625580113951","926424112484745226",40
"925729625580113951","926424196794429481",50
"949050648186486814","951522980154982450",10
"949050648186486814","951522980154982450",10
"952647118332506153","952866389109112852",1
"952647118332506153","952866543216263198",10
"952647118332506153","952866711110029344",50
"951924173716996177","953678527578923018",5
"951924173716996177","953678557052272722",15
"951924173716996177","953678579697336371",25
"951924173716996177","953678608193454080",45
"951924173716996177","953678655282880522",60
"953379025311641640","953383964305944596",2
"933706031517802536","962397681957875793",10
"933706031517802536","962397734176972832",15
"933706031517802536","962397769207799848",20
"933706031517802536","962460161715351602",25
"933706031517802536","962397603360809071",5
"966811756376776724","967076648686084186",30
"966811756376776724","967076737173303306",35
"966811756376776724","967077155920052245",40
"966811756376776724","967077022457290773",45
"966811756376776724","967077276049100800",50
"968162980946673756","968162981236047941",5
"968162980946673756","968162981265424434",10
"803697848163631105","980065406041604096",5
"803697848163631105","980065522890735637",10
"803697848163631105","980065597419290634",25
"803697848163631105","980065672631570442",50
"948310338602958888","948557940837724250",8
"984083592110039120","988063317564194856",10
"984083592110039120","988063404713455676",20
"984083592110039120","988063610989326349",30
"968162980946673756","988426594207035452",70
"777886844334505995","988839475734011995",5
"984828890755268639","986308688790843422",10
"984828890755268639","986308797830148156",15
"984828890755268639","986309045281501234",20
"984828890755268639","986308951681433600",25
"984828890755268639","986310269800157184",30
"994575472514056262","994575472652460114",30
"994575472514056262","994575472652460115",35
"994575472514056262","994575472652460116",40
"994575472514056262","994575472652460117",45
"994575472514056262","994575472652460118",50
"939033081577373696","939197054087999598",8
"994332164768403596","997796177560997928",5
"994332164768403596","998213722495533136",10
"994332164768403596","998226157642203278",15
"988078038531076146","999071603855994920",30
"988078038531076146","999071625104326718",35
"988078038531076146","999071648290439259",40
"988078038531076146","999071672156049488",45
"988078038531076146","999071697019867176",50
"973289734057132092","999022137945899088",15
"973289734057132092","999020647474802740",20
"973289734057132092","999022669703946330",25
"973289734057132092","999021020105158736",30
"973289734057132092","999022449175830528",35
"948595942448320653","993932871989469284",10
"948595942448320653","993927640312467508",20
"948595942448320653","993820712789872680",30
"948595942448320653","993821785676062740",40
"948595942448320653","993841473026003024",50
"1003958308283109387","1003961163974979625",5
"1003958308283109387","1003961060157554709",10
"1003958308283109387","1003960921695203369",50
"1003958308283109387","1003960804829306890",100
"984928443173068880","986359810243055676",2
"984928443173068880","986406834862702641",5
"984928443173068880","986406832358699038",10
"984928443173068880","986406826964811807",15
"984928443173068880","986406824540528700",25
"957242463284764732","1007359889296871535",5
"1011580684680318997","1011590784522391583",5
"1011580684680318997","1011591905278173226",10
"1011580684680318997","1011595643007029372",25
"962071608103673958","1012320357757235372",5
"962071608103673958","1012320951704223764",10
"962071608103673958","1012320954115960912",25
"939887880598331423","999421327486238801",60
"939887880598331423","999425729576058941",70
"939887880598331423","999426184779661422",80
"939887880598331423","999421541186011168",90
"939887880598331423","999421738314125343",100
"1014116444897804408","1014116444897804410",5
"1014116444897804408","1014116444897804411",10
"1014116444897804408","1014116444897804412",25
"1014445347713593354","1014473444949246032",80
"1014445347713593354","1014473519058399282",85
"1014445347713593354","1014473633961349180",90
"1014445347713593354","1014473704538898433",95
"1014445347713593354","1014473717000183818",100
"1011666623465267341","1014899341191811183",50
"937793977892077668","1015684639890882581",90
"937793977892077668","999586303836442654",100
"937793977892077668","1015685036823027797",99
"937793977892077668","1015663229948657674",10
"993887751785168906","1015707443822596116",45
"993887751785168906","1015708166610223154",60
"993887751785168906","1015708340241842306",80
"993887751785168906","1015707075709517924",99
"993887751785168906","994504497546133575",100
"676115729124425737","1014952652183965847",15
"676115729124425737","1014952653119303741",20
"676115729124425737","1014952654507622520",40
"676115729124425737","1014952655535231098",60
"676115729124425737","1014952657380724776",100
"937793977892077668","1015883749357002873",30
"994332164768403596","1005399697214677023",25
"1009124566544695357","1016422572688162977",10
"1009124566544695357","1016422571568287925",15
"1009124566544695357","1016422570620375161",25
"1009124566544695357","1016422569353682996",50
"1009124566544695357","1016422568145727548",100
"972184158665310239","1018105567606214696",3
"972184158665310239","1018106558913187860",5
"972184158665310239","1018112894929490030",10
"1009597118761148506","1009598553548660827",15
"1009597118761148506","1009598552688824442",25
"1009597118761148506","1009598500234862623",35
"1009597118761148506","1009598498955604018",45
"1009597118761148506","1009598581033930843",55
"858329106726518794","979483501793538140",80
"858329106726518794","979483503005687869",85
"858329106726518794","979483504138145842",90
"858329106726518794","979483505065066546",95
"858329106726518794","979483506864455801",100
"1018445925972201523","1019936135159496774",15
"1013884961583022250","1019782044265496618",25
"1013884961583022250","1019782044814942208",35
"1013884961583022250","1019782045527969823",50
"1013884961583022250","1019782046236819536",60
"1013884961583022250","1019782046878539867",100
"1019243091267424287","1019646528110985267",6
"1019243091267424287","1019646528110985267",7
"1019243091267424287","1019646528110985267",5
"1019597631128870962","1022842716444434473",5
"1019597631128870962","1022842781389037629",10
"1015142561087750174","1015974402845835364",2
"1015142561087750174","1015303685942812732",3
"1015142561087750174","1015303714816405565",4
"994332164768403596","1023517618830843974",2
"916429769007067157","1022931292653899867",10
"916429769007067157","1022931564516102145",15
"916429769007067157","1022931725568970752",20
"916429769007067157","1022932055065112627",25
"916429769007067157","1023575299620884560",30
"1022933825069776936","1024380036578562108",30
"1022933825069776936","1024379924271878176",45
"1022933825069776936","1024380312945438821",50
"1022933825069776936","1024380755184463966",75
"1022933825069776936","1024380931332649001",100
"997065184017395712","1016676600122708009",5
"997065184017395712","1016676760076681268",10
"997065184017395712","1016676595764842609",15
"1023650258032525322","1100470761493377085",25
"1023650258032525322","1100470683353501716",30
"1023650258032525322","1100470868741738577",40
"1023650258032525322","1100470931815661619",50
"1023650258032525322","1100470968708767874",60
"1047111184064716861","1047111184131821572",30
"1047111184064716861","1047111184131821573",40
"1047111184064716861","1047111184131821574",50
"1047111184064716861","1081285368151805972",75
"1047111184064716861","1081236000384221214",100
"1101833384763854888","1102180392934572102",1
"1101833384763854888","1102180439067738262",2
"1101833384763854888","1102180479479840800",3
"1096139477983965347","1096444534910619678",1
"993991035485179954","1101154686763028500",5
"1104138711706382347","1104140650707964037",1
"1104138711706382347","1104431662630178827",4
"1104138711706382347","1104433127553765426",2
"1099659713559412809","1104435340149805076",1
"1099659713559412809","1104435484589051955",2
"1099659713559412809","1104435642265514054",3
"1079807502113316896","1104466120267792498",60
"1079807502113316896","1104466165213958287",70
"1079807502113316896","1104466424874930408",80
"1079807502113316896","1104466470378934383",90
"1079807502113316896","1104466792652480552",100
"1084192787198640139","1105533761820561521",1
"1084192787198640139","1105533713657368717",5
"1084192787198640139","1105533578906968175",10
"1084192787198640139","1105533519016505488",20
"1084192787198640139","1105531932349059112",50
"925729625580113951","926423375352561714",2
"925729625580113951","926423482739359774",5
"1105476807576272937","1107436119995453510",20
"1047228829866938480","1065725072649756713",50
"1047228829866938480","1110571734844850228",10
"1109441591522906203","1111531909101670420",1
"1067454607749546044","1067459255780777985",3
"1067454607749546044","1067459615312326656",10
"1067454607749546044","1112092968782930064",2
"1067454607749546044","1112093756758429886",15
"1067454607749546044","1112093430626144286",6
"1113109061785878532","1113507775029444748",2
"1113109061785878532","1113508263183524060",5
"1113109061785878532","1113508346209767466",10
"1113109061785878532","1113508443765092523",15
"1113109061785878532","1113508536601825300",20
"829790315636326400","1096074076545634314",1
"829790315636326400","1096074308931031060",5
"829790315636326400","1096074322747076678",10
"829790315636326400","1096074326693916683",20
"829790315636326400","1096074330493947964",50
"1113419787859673218","1113419787956133913",1
"1113419787859673218","1113419787956133914",5
"1113419787859673218","1113419787956133915",10
"1113419787859673218","1113419787956133916",20
"1113419787859673218","1113419787956133917",30
"904481972280238090","904481972322177071",1
"974349292695322714","1071111516989960214",15
"974349292695322714","1071111359116349492",30
"974349292695322714","1071111143298449458",70
"974349292695322714","1071110894299402372",100
"1061674451965583420","1117521203763085372",5
"1061674451965583420","1117521287426883664",10
"1044625104379858944","1096424864727957645",10
"1044625104379858944","1096425072639610990",20
"1044625104379858944","1096425228747407370",30
"1044625104379858944","1096425409559666828",40
"1044625104379858944","1096426531355631657",50
"1061674451965583420","1117787901934190674",15
"1061674451965583420","1117788181094473769",20
"1061674451965583420","1117788379967398000",25
"1116357958977212466","1119939417801510933",5
"1120224794839887963","1120224794839887970",1
"1120224794839887963","1120224794839887971",10
"1120224794839887963","1120224794839887972",20
"1120224794839887963","1120224794865041518",40
"1120224794839887963","1120224794865041519",60
"971131470888448020","1120957760750768273",5
"1122466545432547390","1122466545432547397",1
"1122466545432547390","1122466545432547398",10
"1122466545432547390","1122466545579339806",20
"1122466545432547390","1122466545579339807",40
"1122466545432547390","1122466545579339808",60
"1125738840993304586","1125738841014284371",5
"1125738840993304586","1125738841014284372",15
"1125738840993304586","1125738841014284373",30
"1125738840993304586","1125738841014284374",50
"1097921696750637166","1127562828216279081",20
"1097921696750637166","1127562943714840596",50
"1097921696750637166","1126534943791648851",100
"1099347634357018779","1128029898477420676",5
"1099347634357018779","1128032586296475678",10
"1099347634357018779","1128032829503193168",15
"1099347634357018779","1128032971895607366",20
"1099347634357018779","1128033077193613464",25
"1121427167721558107","1128545168023363645",1
"1121427167721558107","1128545604855926866",2
"1121427167721558107","1128545698141450292",3
"1121427167721558107","1128545783675891813",4
"1121427167721558107","1128545903305818134",5
"1127663049407479908","1127666093310357655",1
"1127663049407479908","1127666353831162018",2
"1127663049407479908","1127666605543923853",3
"1127663049407479908","1127666712859381911",4
"1127663049407479908","1127666856015171644",5
"1126608871927070884","1126608871948038256",5
"1126608871927070884","1126608871948038257",10
"1126608871927070884","1126608871948038258",20
"1126608871927070884","1126608871948038259",30
"1129739188745551922","1130513705940041858",5
"1129739188745551922","1130513877256388789",10
"1129739188745551922","1130514063340863692",15
"1129739188745551922","1130514173055483945",20
"1129739188745551922","1130514360364699699",25
"1129452134220447794","1134087438525018172",1
"1129452134220447794","1134087367909707796",2
"1129452134220447794","1134087222841331785",3
"1129452134220447794","1134087161323466853",4
"1129452134220447794","1134086314833219594",5
"1089814668798869525","1134418546642915398",5
"1089814668798869525","1134419036986408960",10
"1089814668798869525","1134419138706690131",20
"1089814668798869525","1134419333045559336",30
"1089814668798869525","1134419511076986920",40
"1130135249674850374","1135516027896201266",20
"1130135249674850374","1135516809735446528",10
"1130135249674850374","1135516865502912562",30
"1130135249674850374","1135516914374938687",40
"1130135249674850374","1135516966023602186",50
"1134390991323930644","1134391980802179092",10
"1134390991323930644","1134392044337508424",20
"1134390991323930644","1136319651970830356",5
"1134390991323930644","1134392097437388873",30
"1134390991323930644","1136046375117787226",40
"1120771161870049372","1124689718949445732",50
"1134951256708874281","1135219097207066634",100
"1138774774756151357","1138824563220824084",5
"1138774774756151357","1138824566848897104",10
"1138774774756151357","1138824569218678854",15
"1138774774756151357","1138824571303231639",20
"1138774774756151357","1138824576445468752",30
"1137673481627115540","1137673481790685221",1
"1137673481627115540","1137673481790685222",5
"1137673481627115540","1137673481790685223",10
"1137673481627115540","1137673481790685224",20
"1137673481627115540","1137673481790685225",30
"1047228829866938480","1140028778723151995",75
"1140654842415689848","1140654842554110052",1
"1140654842415689848","1140654842575065198",5
"1140654842415689848","1140654842575065199",10
"1140654842415689848","1140654842575065200",15
"1140654842415689848","1140654842575065201",20
"1141671544951689247","1141671544993624175",50
"1120771161870049372","1142492958659203102",5
"1120771161870049372","1142493499585986720",10
"1120771161870049372","1142493746127196163",30
"1120771161870049372","1142494300849066006",50
"1139248789966819529","1142702490274508863",1
"1139248789966819529","1142702874275618876",2
"1139248789966819529","1142703049425551431",3
"1139248789966819529","1142703348240351314",4
"1139248789966819529","1142703604617187348",5
"1141786368247345302","1141786368322846863",50
"1145411588111740961","1145411588141092949",1
"1145411588111740961","1145411588141092950",5
"1145411588111740961","1145411588141092951",10
"1145411588111740961","1145411588141092952",15
"1145411588111740961","1145411588141092953",20
"1145583569025126451","1145583569054474283",1
"1145583569025126451","1145583569054474284",5
"1145583569025126451","1145583569054474285",10
"1145583569025126451","1145583569054474286",15
"1145583569025126451","1145583569054474287",20
"1010715587581853897","1146770795780128810",1
"1010715587581853897","1146770884615479357",5
"1010715587581853897","1146770958338760704",10
"1010715587581853897","1146771231098540135",25
"1010715587581853897","1146771109593747496",50
"1111756974397325352","1135700232773058560",10
"1148489013393641542","1148489013410402304",10
"1148489013393641542","1148489013410402305",20
"1148489013393641542","1148489013410402306",30
"1148489013393641542","1148489013410402307",40
"1148489013393641542","1148489013410402312",50
"1148847286055600198","1148850074152083466",10
"1148847286055600198","1148850039888818216",20
"1148847286055600198","1148850002853122078",30
"1148847286055600198","1148849964898861099",40
"1148847286055600198","1148849927582126122",50
"1152537305370865696","1152540131694219304",5
"1152537305370865696","1152540075733819433",10
"1152537305370865696","1152540015012872263",15
"1152537305370865696","1152539937988694068",25
"1152537305370865696","1152539884737798194",35
"1153758306523947018","1153765803963981896",5
"1153758306523947018","1153765650314055710",15
"1153758306523947018","1153765451726332036",30
"1153758306523947018","1153765268330401892",50
"1138088813198065725","1138088813231624316",1
"1138088813198065725","1138088813231624317",2
"1138088813198065725","1138088813231624318",3
"1138088813198065725","1138088813231624319",4
"1138088813198065725","1138088813231624320",5
"1163453751986757774","1163458536089583666",5
