"guildID","channelID","msgID","userID"
"973496253658849300","973502089886060544","1000371186653470780","892676014868680715"
"925729625580113951","925739069391114240","1000385613649936385","995959406921523240"
"925729625580113951","925739069391114240","1000386452426866759","995959406921523240"
"925729625580113951","925739069391114240","1000386920762839181","995959406921523240"
"966811756376776724","967083647834415185","1000418774475878421","840122604115329055"
"989961082833608795","989965372457373796","1000457560777830420","927919372821995520"
"989961082833608795","989965372457373796","1000457560777830420","941750986551205930"
"989961082833608795","989965372457373796","1000457560777830420","714361420409733171"
"989961082833608795","989965372457373796","1000457560777830420","784708469495300106"
"989961082833608795","989965372457373796","1000457560777830420","799543456329629716"
"989961082833608795","989965372457373796","1000457560777830420","979726436132876319"
"989961082833608795","989965372457373796","1000701261261316116","784708469495300106"
"989961082833608795","989965372457373796","1000701261261316116","824378909985341451"
"989961082833608795","989965372457373796","1000701261261316116","941750986551205930"
"989961082833608795","989965372457373796","1000701261261316116","948565546742452284"
"989961082833608795","989965372457373796","1000701261261316116","927919372821995520"
"989961082833608795","989965372457373796","1000701261261316116","802181685412102164"
"989961082833608795","989965372457373796","1000701261261316116","799543456329629716"
"989961082833608795","989965372457373796","1000701261261316116","797124271914483723"
"989961082833608795","989965372457373796","1000701261261316116","800790744150835272"
"989961082833608795","989965372457373796","1001076158613426206","802181685412102164"
"989961082833608795","989965372457373796","1001076158613426206","775432882474450965"
"989961082833608795","989965372457373796","1001076158613426206","948565546742452284"
"989961082833608795","989965372457373796","1001076158613426206","927919372821995520"
"989961082833608795","989965372457373796","1001076158613426206","692705035657936957"
"989961082833608795","989965372457373796","1001076158613426206","784708469495300106"
"989961082833608795","989965372457373796","1001076158613426206","821076865845952535"
"988078038531076146","999060135106330684","1001115522886287370","603953653493137438"
"989961082833608795","989965372457373796","1001076158613426206","799543456329629716"
"989961082833608795","989965372457373796","1001076158613426206","983754168978268180"
"989961082833608795","989965372457373796","1001076158613426206","941750986551205930"
"989961082833608795","989965372457373796","1001191056748056576","941750986551205930"
"989961082833608795","989965372457373796","1001191056748056576","692705035657936957"
