"userID","streak","timestamp"
"824378909985341451",1,"1695119382.582712"
"618805150756110336",1,"1688762852.923752"
"796707311267479563",1,"1656523071.700703"
"840122604115329055",1,"1656883365.222475"
"720700352730497155",1,"1664384951.516076"
"827952900381868072",1,"1664375877.335034"
"899674250334576691",13,"1655830706.862766"
"832540031897305089",4,"1664520844.311778"
"810459620035657769",1,"1654628899.922968"
"835782971235368960",1,"1657909491.119032"
"722082277735137351",1,"1654693361.919191"
"947298447889928223",1,"1654749247.113484"
"959775346989879347",1,"1664459288.346155"
"800387017850224660",1,"1697380364.973322"
"950419082413486100",1,"1654943948.240547"
"887416808838164511",1,"1655115446.749505"
"792794981517099069",1,"1657206543.736882"
"785918436957880320",1,"1655388831.687016"
"806171118993145887",1,"1655440556.307884"
"853742600061714482",4,"1684429308.634744"
"461016766420877332",1,"1659421911.792123"
"924772664843833405",1,"1655649352.192525"
"852954532044472321",1,"1655663889.222205"
"944309381720334417",4,"1664461844.629536"
"989404318086094898",6,"1664526400.98729"
"455146103755636739",1,"1657487632.163423"
"799212387944759316",1,"1656185875.461862"
"634338894308966460",1,"1656187557.171755"
"854429096560820284",3,"1656475072.888307"
"855789575876378635",1,"1656601582.186419"
"967368147533430856",1,"1660807715.477766"
"643029855478480907",1,"1657866251.949617"
"906433207321378826",1,"1657216890.862138"
"741962698283024474",1,"1662153795.346984"
"991807730417418250",1,"1661164985.414147"
"954161154098348042",2,"1657693932.996625"
"857218990463385600",2,"1658002981.061997"
"891653692284100669",1,"1657991439.514126"
"995959406921523240",1,"1660249743.66696"
"941750986551205930",1,"1686986253.602179"
"767376315397177384",1,"1660133048.233982"
"947090065589428254",1,"1661435901.751484"
"580445863231356938",1,"1658869240.368361"
"936354421900726312",1,"1661704040.931161"
"714361420409733171",1,"1661239652.125662"
"859833099448483851",1,"1659776180.513466"
"781840016158228480",1,"1661490599.771459"
"976100030345801759",1,"1659431160.446251"
"981898944017739836",1,"1683996727.449051"
"805180370260983858",1,"1663053499.06105"
"679706007219339376",1,"1661892940.654255"
"670647545332236288",1,"1659821401.314631"
"964099806198898709",1,"1659856264.922884"
"971797457652563968",1,"1659861012.054566"
"770223395035283466",1,"1659882486.510553"
"730734267704934422",3,"1698867660.459682"
"873910009937928233",1,"1662194352.449956"
"702107838134091796",1,"1660823889.056489"
"374083438371930113",1,"1662406850.400891"
"525974888750645249",1,"1662556648.225667"
"934790682793607199",2,"1662985664.784236"
"972038606128566342",2,"1661171676.721021"
"825356432319840277",1,"1661169613.797497"
"439150538005938208",1,"1695644778.68451"
"899293212211028009",5,"1663004637.170233"
"688544000029884531",1,"1686415941.404693"
"952173663233392650",1,"1661410289.292349"
"845694254160543764",1,"1663433985.44988"
"534407472098836491",1,"1661448971.554577"
"842692164097671178",1,"1661507545.744974"
"416015508303904779",1,"1661589430.831138"
"689808757089370152",1,"1661589492.93428"
"722788264578383909",2,"1661675940.185729"
"727806232026677288",1,"1688147949.010578"
"880469664239583253",1,"1683524142.004579"
"775433367595909129",2,"1664461005.761155"
"983782519277236255",1,"1661642895.226368"
