"roleID","label","guildID","id"
"962753309997932554",test 1,"925729625580113951",1
"926423703120646197","1","925729625580113951",2
"962753328679358515","2","925729625580113951",3
"926212661182623774",nws,"925729625580113951",4
"934764720387403796",nws2,"925729625580113951",4
"926212661182623774",Vulpo Neuigkeiten,"925729625580113951",6
"934764720387403796",Vulpo‘s Wald Neuigkeiten,"925729625580113951",6
"934764712430800916",Leaks und Infos,"925729625580113951",6
"953718497773486151",Status Update,"925729625580113951",6
"934764724212609035",Gewinnspiele,"925729625580113951",6
"1005119259329966142",as,"1005119105868759162",11
"1009088820299432020",dev,"1005119105868759162",11
"1012737135280934952",Twitter News,"768228694736371732",13
"1012737135280934952",twitter news,"768228694736371732",14
"1012737135280934952",test,"768228694736371732",15
"1013455403729825804",Server News 🔔,"683059539054297159",16
"1013456832330743888",Twitter News 🐦,"683059539054297159",16
"1013088466747281498",test,"986322560532758579",18
"1013088445838671972",test,"986322560532758579",19
"1013088445838671972",TEST,"986322560532758579",20
"1013088445838671972",test,"986322560532758579",21
"1013088445838671972",₊˚ʚ📰┋Neuigkeiten Ping,"986322560532758579",22
"1013088446522335256",₊˚ʚ💫┋Umfragen Ping,"986322560532758579",22
"1013088447726104667",₊˚ʚ🎁┋Gewinnspiel Ping,"986322560532758579",22
"1013088449038917682",₊˚ʚ🎀┋Event Ping,"986322560532758579",22
"1009860447735918623","13","1009377828069982208",26
"1009860448629305425","15+","1009377828069982208",26
"1009860449048723610","16","1009377828069982208",26
"1009860449900171367","16+","1009377828069982208",26
"1009865587696074835","18","1009377828069982208",26
"1009865592112676864","18+","1009377828069982208",26
"994607727160602694",asfd,"948595942448320653",32
"994607727160602694",Toter chat,"948595942448320653",33
"994607463905103903",Twitch,"948595942448320653",33
"994607596755505182",YouTube,"948595942448320653",33
"1003923762875478058",Tiktok,"948595942448320653",33
"994607727160602694",Giveaway,"948595942448320653",33
"994607826490097734",Umfrage,"948595942448320653",33
"994607915543580732",Infos über DC,"948595942448320653",33
"995025766939115540",Infos über MC,"948595942448320653",33
"994607463905103903",Twitch,"948595942448320653",41
"994607596755505182",YouTube,"948595942448320653",41
"1003923762875478058",Tiktok,"948595942448320653",41
"994607727160602694",Giveaway,"948595942448320653",41
"994607826490097734",Umfrage,"948595942448320653",41
"995025766939115540",info über mc,"948595942448320653",41
"994607915543580732",info über dc,"948595942448320653",41
"1005534585293127761",toter chat,"948595942448320653",41
"994607463905103903",Stream,"948595942448320653",49
"994607596755505182",YouTube,"948595942448320653",49
"1003923762875478058",TikTok,"948595942448320653",49
"994607727160602694",Giveaway,"948595942448320653",49
"994607826490097734",Umfrage,"948595942448320653",49
"994607915543580732",Infos über dc,"948595942448320653",49
"995025766939115540",Infos über mc,"948595942448320653",49
"1005534585293127761",Toter chat,"948595942448320653",49
"1014615452275720243",Neuigkeiten,"1014610377633439845",57
"1014615453257183343",Umfragen,"1014610377633439845",57
"1014615454863589396",Verlosungen,"1014610377633439845",57
"1014615455819894867",Events,"1014610377633439845",57
"994629937950638191",News Ping,"839106915178381382",61
"994630072818475099",Informationen,"839106915178381382",62
"994630072818475099",Giveaway,"839106915178381382",62
"994630197146046485",Umfragen,"839106915178381382",62
"994684079339483146",Casino,"839106915178381382",62
"994684228371480677",Dead Chat,"839106915178381382",62
"994630205702422688",Event,"839106915178381382",62
"994684781696655361",Partner,"839106915178381382",62
"843959129080725544",Test,"811730903482761246",69
"843959129080725544",test122,"811730903482761246",70
"843959129080725544","1234","811730903482761246",70
"1007737669310218360",Test,"1003987205196361728",72
"1019646528110985267",owner,"1019243091267424287",73
"1019825313477296140",User,"1019243091267424287",73
"1019646528110985267",owner,"1019243091267424287",75
"1020424425981608066",Administrator,"1019243091267424287",75
