"guildID","channelID","emoji"
"925729625580113951","965596069419429949",upvote:965318994200514641
"925729625580113951","965596069419429949",downvote:965319042812493834
"911689408795774986","972911158480736287",✅
"911689408795774986","972911158480736287",❌
"743767102971707453","926413912054845511",<a:VoteYes:973964070095036477>
"743767102971707453","926413912054845511",<a:VoteNo:973964092559736882>
"743767102971707453","974910985934610482",<:one:973964325096161402>
"743767102971707453","974910985934610482",<:two:973964388740501514>
"966811756376776724","973916216169201684",<:VoteYes1:970687608881549362>
"950446690802995220","972603891390775326",🤔
"942093754129600572","972772168729501726",👍
"942093754129600572","972772168729501726",👍
"942093754129600572","972772168729501726",👎
"942093754129600572","962995950673068032",👍
"942093754129600572","976900252932124692",👍
"942093754129600572","976900252932124692",👎
"646045583093530635","966356644659351622",👍
"796793045516681257","946389994321350676",💡
"950446690802995220","972603891390775326",😋
"968909601422573638","974380771416629359",<:HC_UMFRAGE_ja:978633930985054258> <:HC_UMFRAGE_nein:978633953336500254>
"968909601422573638","974380771416629359",<:HC_UMFRAGE_nein:978633953336500254>
"942093754129600572","977919381298364456",✅
"979792377352962148","980522359532449843",<:Ja:980523465591365693>
"979792377352962148","980522359532449843",<:Nein:980523466157613066>
"979792377352962148","980522742447222825",❤️
"971014014790402058","975129400402133042",<a:Hi:967672138121248790> <a:herzchen:933720245556887552> <a:pokemon_16:946815267953057882> <a:funny_dance:960581340451975248>
"971014014790402058","975129400402133042",<a:funny_dance:960581340451975248>
"984083592110039120","984487239058870322",<a:voteYES:984137505802682389>
"984083592110039120","984487239058870322",<a:voteNO:984137560790020106>
"892080636645486683","985416474816552960",<a:voteUp:962003722102276126>
"892080636645486683","985416474816552960",<a:voteDown:962003770777169960>
"966811756376776724","986701298533556254","1️⃣"
"966811756376776724","986701298533556254","2️⃣"
"966811756376776724","985867776981876746",<a:suggestion_yes:984058287945297951>
"966811756376776724","985867776981876746",<a:suggestion_no:984058301803282452>
"973289734057132092","988789683901333504",✅
"973289734057132092","988789683901333504",❌
"942093754129600572","972772168729501726",👍
"942093754129600572","972772168729501726",👎
"983347878737117254","988909610268237835","1️⃣"
"973289734057132092","990958068135260160",👍
"973289734057132092","990958068135260160",👎
"984828890755268639","985068690930278500",✅
"984828890755268639","985056859826311228",✅
"984828890755268639","985063423756869672",✅
"992167006033956874","992167641089310750",😀
"971441719222599720","991685849097961482",✅
"973291000929878087","973291000929878090",🐍
"984928443173068880","988068644007333898",<:snail_upvote:995846310940917771>
"984928443173068880","988068644007333898",<:snail_downvote:995846309552595024>
"994332164768403596","994536965645021244",<a:verifygreen:996336302079356978>
"994332164768403596","994537049208135781",<a:verifyred:996340366645133364>
"994332164768403596","994537190518431824",<:check:996338306252021830>
"994332164768403596","994344077543882772",<:check:996338306252021830>
"994332164768403596","994344077543882772",<:unchecked:996338519750484028>
"973289734057132092","997479988662128741",🔗
"989961082833608795","989973095748075521",<:Frog_okay:994272348901478430>
"989961082833608795","989973095748075521",<a:FroschNein:994272351845875863>
"997188963074834563","997205732174860388",✅
"997188963074834563","997205732174860388",❌
"973289734057132092","1003230068350402630",<:yes:1003741612117069874>
"973289734057132092","1003230068350402630",<:idk:1003741670577279056>
"973289734057132092","1003230068350402630",<:no:1003741732380352562>
"775145940020887572","1006655788607082506",✅
"775145940020887572","1006655788607082506",✅
"775145940020887572","1006655788607082506",❌
"972184158665310239","990501685539512361",<:dude:977982002332594306>
"1000801243872116736","1007314590381637692",<:SeekPng:1007627815329476618>
"1000801243872116736","1007314590381637692",🟡
"1008879418061635660","1008879418896285829",👍
"965751341081321472","1007779728012353577",👍🏻
"989961082833608795","1010919861137985618",<:SH_Check:1010954266271305799>
"979142025112858685","987448914603036702",<a:AL_Ja:1003630417464807495>
"979142025112858685","987448914603036702",<a:Nein:1010996968014741646>
"1002707762544914535","1002707763681575019",🎟️
"1009124566544695357","1013554993904758964",<a:LVLup:1013577732497608704>
"1009124566544695357","1013555144224411668",<:ac_Yes:1013582145622646905>
"1009124566544695357","1013555144224411668",<:AC_No:1013582204066074684>
"1009124566544695357","1013560888692846612",<:ac_Yes:1013582145622646905>
"1009124566544695357","1013560888692846612",<:AC_No:1013582204066074684>
"1009124566544695357","1013560823463039046",<:LX_PandaPopcorn:1012459999575949402>
"979142025112858685","1006945355235070125",<a:AL_Ja:1003630417464807495> <a:Nein:1010996968014741646>
"979142025112858685","1006945355235070125",<a:Nein:1010996968014741646>
"1009437873008816138","1012037880681607331",<:PH_Pin:1011181340349173801>
"989961082833608795","1012729704211562506",<:SH_Check:1010954266271305799>
"1011747905129947288","1011749987069218958",👍
"1004292109785899028","1005184168981975141",👍
"1004292109785899028","1005184168981975141",🇲🇦
"966811756376776724","1013205719538991185",<:voteup:1012002462254760049>
"966811756376776724","1013205719538991185",<:votedown:1012002509398753301>
"972184158665310239","973602780755427329",✅
"972184158665310239","973602780755427329",❎
"965751341081321472","1015409272110202951",✅
"768228694736371732","768228694736371735",✉️
"998640957211820133","998642077258764419",👀
"918792098805870592","935961520096051240",<a:CatLaundry:1016664564017942620>
"918792098805870592","921500643993210900",<a:check:1017202784958951424>
"918792098805870592","921500643993210900",<a:neutral:1017203671114711040>
"918792098805870592","921500643993210900",<a:deny:1017202994900643870>
"918792098805870592","921500643993210900",<:arrow:950799032454889482>
"918792098805870592","921500643993210900",<:emoji_135:1003981790156959824>
"972184158665310239","992476917502595133",❤️
"965751341081321472","1010365407305150514",👋
"1019243091267424287","1019826115176566804",❤
"921045773456642108","1016276836885475348",<:uno_reverse:921377785182842920>
"1008758902990569562","1009083447567994953",<a:love:1014320850268332083>
"994332164768403596","997425443558936676",<:ja:964850725060481035>
"995076445988720700","1023629572023013406",<:711920506663731200:998155878152798268>
"995076445988720700","1023629572023013406",<:711920568563269735_1:998155935296000050>
"995076445988720700","1023715885300592682",<:711920506663731200:998155878152798268>
"995076445988720700","1023715885300592682",<:711920568563269735_1:998155935296000050>
"995076445988720700","1023715885300592682",<:vielleicht:1001926486078529638>
"933769612120694854","1005799422157934592",💋
"933769612120694854","1005799422157934592",💍
"933769612120694854","1005799422157934592",⚔️
"886328523701223504","1015577700146106388",<:pepeheart:1021462870057291826>
"886328523701223504","1015577700146106388",<:pepeheart:1021462870057291826>  💝
"1022933825069776936","1023133518928285706",💞
"1022933825069776936","1023132230798802964",<a:cool1:1024329359756099716>
