"userID","anzahl"
"824378909985341451","118"
"995959406921523240","650"
"989404318086094898","231"
"853742600061714482","538"
"951214932119150662","13"
"461016766420877332","500"
"963554907783323678","324"
"935241618213204008","30"
"904004825690300477","10"
"966763433510961223","30"
"995912905818116196","330"
"868527841812299846","7"
"997928770122022945","179"
"790936967302479922","93"
"686212997521211436","119"
"629325344284999701","7"
"832540031897305089","24"
"941750986551205930","47"
"840122604115329055","30"
"946437098553090109","23"
"992817949817704528","52"
"758976327113506876","57"
"968867502086057995","21"
"687297915076870157","37"
"797124271914483723","4"
"927919372821995520","142"
"784708469495300106","3"
"307187690049372164","6"
"443789116484878336","3"
"837258284523847723","76"
"966025458556747796","2"
"952935590406537236","2"
"816628412185051207","32"
"618805150756110336","22"
"967368147533430856","32"
"799543456329629716","49"
"939194327442268161","18"
"481781881742950401","95"
"847053490994806824","5"
"986353878494773312","11"
"580445863231356938","25"
"854340159096750090","103"
"902210473582293023","2"
"404367038753275904","2"
"1000350396017025135","17"
"827952900381868072","25"
"902617039531814924","11"
"679706007219339376","69"
"518765641713582100","8"
"832932859017822208","9"
"931217348713660446","8"
"701813696413827142","11"
"980460716345683978","1"
"980373957402296331","38"
"977575918216302622","2"
"692440194019885136","152"
"823534232525471784","4"
"689386059326292008","8"
"268768664411439115","7"
"1001960351358799973","2"
"976100030345801759","34"
"802181685412102164","1"
"947176753502224384","13"
"780306401254834196","189"
"1001927013097025637","11"
"831222668178489386","8"
"803634033501667330","6"
"950803636928266260","9"
"714361420409733171","31"
"905485407532232754","10"
"796814931831160834","19"
"944309381720334417","23"
"966708186717503518","1"
"873922994718773278","45"
"839221856908214313","56"
"926103617054834708","1"
"720700352730497155","105"
"840994600059273276","75"
"962004701329645588","55"
"959050473074196551","16"
"981898944017739836","33"
"936354421900726312","13"
"971797457652563968","25"
"835782971235368960","3"
"837044499346620448","17"
"999364786196316220","76"
"923857059517186099","12"
"910197873260507136","12"
"850444597813182485","36"
"910247687364939807","13"
"961687420485664849","2"
"928006833162059846","3"
"926748155637301258","13"
"959775346989879347","73"
"608677887708495882","6"
"519530795090837514","9"
"879677831569870859","25"
"996459070687031396","75"
"1004840041811554464","37"
"972821527798099978","1"
"781840016158228480","1"
"851037560196169790","2"
"848636898552447006","8"
"1005072529184010290","5"
"957905955503349840","1"
"904666156772757524","3"
"909885633932181555","1"
"842760140401672214","2"
"738800213271117964","5"
"124220790001500161","59"
"825733838927691817","44"
"522773116762456064","1"
"539502259537444875","57"
"626081708361646101","5"
"869529587414102066","1"
"705094669964673036","19"
"586609553349672977","13"
"730734267704934422","162"
"688080245403681005","44"
"636564940236390430","4"
"1006184857908559903","1"
"709770594060599316","1"
"794901871398879232","2"
"914481579257131039","4"
"792794981517099069","84"
"535529594330021889","11"
"770223395035283466","2"
"932566860711489627","37"
"597754067128811522","194"
"932306247632437280","5"
"613322126551678976","3"
"374083438371930113","457"
"754069580812517456","52"
"983754168978268180","2"
"948565546742452284","24"
"805180370260983858","202"
"475928067479568384","1"
"928363369709334578","4"
"525974888750645249","753"
"940070669729820733","14"
"1008975489962082374","56"
"991807730417418250","331"
"972038606128566342","44"
"825356432319840277","73"
"913084836900655135","4"
"934790682793607199","210"
"917041927185125438","22"
"826130577337614346","23"
"886986109979090995","23"
"827174631462141982","3"
"764173981707272242","2"
"720879220561018912","3"
"853356086584016967","5"
"1007567826921455626","10"
"779429488576561193","25"
"859292982632382485","9"
"847879019469865040","68"
"964261766009852015","8"
"769504453194940447","70"
"859364507465678848","88"
"1005782138790092811","4"
"952173663233392650","15"
"825400094936530975","33"
"807195962338443276","5"
"1005428637010497568","106"
"781923698851446794","157"
"961351646359740466","84"
"933350026141380708","238"
"683354538433839340","21"
"786936276699971615","60"
"846322946795634688","26"
"886525558853361734","1"
"906999982865932298","2"
"682974870266576956","19"
"904402034600575026","15"
"967002758945329172","2"
"799335586406203492","4"
"775433367595909129","162"
"811317940179173406","2"
"976090592310362163","3"
"380109172617773056","5"
"853563496948432941","26"
"993929547353427968","25"
"896822236437180456","1"
"614724544489324555","1"
"874719475142901902","10"
"683055422650974448","29"
"785059784604778496","27"
"774259952851484683","3"
"950058246939492363","4"
"953987718403203183","56"
"983782519277236255","11"
"1004804726497476679","11"
"418503877709791233","6"
"422022707560054795","22"
"892676014868680715","7"
"925677714642468904","2"
"784835845634392066","38"
"969947363030487081","5"
"948168223545757737","4"
