"guild_id","role_id"
"925729625580113951","925737886400266260"
"953285654140293240","953321046960910347"
"950770080684331088","951808785368883200"
"906867698447822889","922755581947834379"
"961145157787451452","961148200197169172"
"803697848163631105","803905294224064572"
"961971433486041198","961974803105980497"
"943483956664356894","943497254482894908"
"957272886857576559","968230122589155379"
"921045773456642108","921074989103448094"
"882684482551943178","882684482551943184"
"743767102971707453","877525919722508299"
"952132126378172426","952132126378172435"
"966811756376776724","967085688942133288"
"968162980946673756","968162981236047939"
"877291515838361690","972815835959799828"
"966978675251744779","966978676010934278"
"960155309589016618","961950465568940036"
"947853231495721030","972950169039552532"
"975466086730436628","975486432095387759"
"979023326443892746","979025954720604170"
"969657096570302514","980054876413366302"
"979792377352962148","980479055772131398"
"983413416209285190","983413416209285191"
"984083592110039120","984121653640441896"
"984812138054967296","984815864836681768"
"986265753005199390","986265753068122120"
"984928443173068880","986361174893408287"
"973289734057132092","986986062704422962"
"942093754129600572","972159775875936267"
"989875687412346940","989896242874187786"
"853662631130300458","853671808582811670"
"992337727297163278","992338685745954816"
"991619253369327706","991630836245991424"
"971441719222599720","977499032731652158"
"984828890755268639","984830995666698290"
"994575472514056262","994575472627306672"
"983090527635406868","983298172333989938"
"996816540806696980","996816540865396771"
"944785491956477952","944787887268974633"
"965566481322606592","988845972534734869"
"999711820262674522","999717408665239602"
"994332164768403596","994464353791250533"
"1000400822380798053","1000400822422736941"
"909422299587964988","1001247495646613544"
"1002497204008783922","1002497204092674060"
"989961082833608795","990210498328948766"
"1004083404360392754","1004089975912026162"
"1000832197319720960","1003012871346720890"
"993465450484731925","1003673377946476634"
"1005477359547318354","1005478936949567568"
"775145940020887572","875396848137957386"
"993957404259664012","994023299027845180"
"1006840596620648509","1006840596767449145"
"957242463284764732","1007359893939961887"
"983384134439292938","985514693160480848"
"1009496911348256799","1009856942719643838"
"1006662489213239406","1006825844288794714"
"1012026771018883172","1012030100679704637"
"1012420010016260221","1012420010305663063"
"983806829165420596","983815445855473685"
"991083033341886524","1012969940980080654"
"982644059464159282","987586892906238032"
"1014227449061580810","1014240884826587197"
"1003672037199462471","1003672037199462478"
"961549776887898132","972500895109644398"
"1016631062610329610","1016637136474222656"
"858329106726518794","979483477235875870"
"1018445925972201523","1019335604435169310"
"1003577766173753374","1018098955491475486"
"1014445347713593354","1014471367653077002"
"1021478293171613716","1021759354040488067"
"810089469314990101","1022186037629440050"
"1008758902990569562","1008758903158362186"
"1023200759447298129","1023204417652146187"
"1093234151278268436","1093234151341183036"
"1103052674993238148","1103053459013517443"
"1076501989472604160","1097507199858774077"
"1079807502113316896","1079837604108849244"
"1063105300783169608","1063139886573559859"
"665125667997876225","731030285533315102"
"1023249968703741992","1023290864614780988"
"1105475162448609412","1105734885479546920"
"945006253258711090","1095013894256336916"
"1108252522583429172","1108368883649351750"
