"guild_id","enabled"
"0","1"
"954047496798208020","0"
"933706031517802536","1"
"918191764312051793","0"
"743767102971707453","0"
"947853231495721030","0"
"803697848163631105","1"
"951924173716996177","0"
"822846471975862312","0"
"753556676459888680","0"
"925754555906535535","0"
"937295768908353577","0"
"938835740698243082","0"
"916429769007067157","1"
"943483956664356894","0"
"966811756376776724","1"
"892080636645486683","0"
"957126049945235547","0"
"836132315809316878","0"
"965566481322606592","1"
"954486889778397336","0"
"964857694609616906","0"
"936022428776292364","0"
"646045583093530635","0"
"958306200892620821","0"
"932693214996090894","0"
"857546239368101888","0"
"899189051410763816","0"
"966811756376776724","1"
"0","1"
"0","1"
"743767102971707453","0"
"0","1"
"0","1"
"743767102971707453","0"
"966811756376776724","1"
"0","1"
"0","1"
"0","1"
"935287972327206953","0"
"0","1"
"0","1"
"0","1"
"0","1"
"753556676459888680","0"
"0","1"
"0","1"
"743767102971707453","0"
"954047496798208020","0"
"933706031517802536","0"
"938999503724355594","0"
"950498508690042890","0"
"913529131931664475","0"
"882684482551943178","0"
"901728557535993936","0"
"743767102971707453","0"
"933706031517802536","0"
"933706031517802536","0"
"882684482551943178","0"
"933706031517802536","0"
"933706031517802536","0"
"933706031517802536","0"
"933706031517802536","0"
"933706031517802536","0"
"954047496798208020","0"
"933706031517802536","0"
"954047496798208020","0"
"882684482551943178","0"
"882684482551943178","0"
"954047496798208020","0"
"954047496798208020","0"
"954047496798208020","0"
"882684482551943178","0"
"882684482551943178","0"
"882684482551943178","0"
"933706031517802536","0"
"954047496798208020","0"
"954047496798208020","0"
"954047496798208020","0"
"954047496798208020","0"
"933706031517802536","0"
"882684482551943178","0"
"882684482551943178","0"
"954047496798208020","0"
"954047496798208020","0"
"954047496798208020","0"
"882684482551943178","0"
"954047496798208020","0"
"933706031517802536","0"
"954047496798208020","0"
"933706031517802536","0"
"954047496798208020","0"
"882684482551943178","0"
"954047496798208020","0"
"882684482551943178","0"
"933706031517802536","0"
"882684482551943178","0"
"933706031517802536","0"
"965566481322606592","1"
"965566481322606592","1"
"954047496798208020","0"
"933706031517802536","0"
"954047496798208020","0"
"916429769007067157","1"
"882684482551943178","0"
"954047496798208020","0"
"916429769007067157","1"
"916429769007067157","1"
"954047496798208020","0"
"916429769007067157","1"
"933706031517802536","0"
