"guildID","word"
"925729625580113951",wichs
"925729625580113951",wichser
"925729625580113951",scheiß
"925729625580113951",scheiße
"925729625580113951",hure
"925729625580113951",Hurensohn
"937376412183183452",testwort
"925729625580113951",hundesohn
"943483956664356894",hurensohn
"933706031517802536",hure
"933706031517802536",hundesohn
"933706031517802536",hurensohn
"933706031517802536",hitler
"933706031517802536",fick
"933706031517802536",nutte
"933706031517802536",porno
"933706031517802536",titten
"933706031517802536",pussy
"925729625580113951",hitler
"925729625580113951",hitle
"933706031517802536",vollidiot
"925729625580113951",wixxer
"968591808055615498",Scheiße
"933706031517802536",huhrensohn
"973267734597087272",dumm huchensohn huche huchen spast spacken
"973267734597087272",spast
"973267734597087272",spaken
"973267734597087272",fake gewinnspiele
"973267734597087272",huchensohn
"973267734597087272",huche
"973267734597087272",@everyone
"966811756376776724",hurensohn
"965566481322606592",dumbass
"965566481322606592",Dumb
"965566481322606592",ass
"973496253658849300",Bjarne
"973496253658849300",Oppermann
"973496253658849300",Hurensohn
"973496253658849300",Fick
"973496253658849300",Fuck
"969657096570302514",Fotze
"969657096570302514",fick
"969657096570302514",Hure
"969657096570302514",HS
"969657096570302514",Hurensohn
"915135748846538772",Hs
"979728374111039578",/cute
"979728374111039578",/bomb
"979728374111039578",ohne löschen
"979728374111039578",/cute choice:dog bomb:True
"979728374111039578",/cute choice:cat bomb:True
"979728374111039578",/cute choice:aww bomb:True
"983076509629677618",Hurensohn
"983076509629677618",Arschloch
"983076509629677618",Huan
"983076509629677618",Fick dich
"915135748846538772",hurensohn
"933706031517802536",wichser
"933706031517802536",huan
"933706031517802536",dumbass
"989875687412346940",bitch
"988321667522629683",hurensohn
"988321667522629683",opfer
"988321667522629683",nutte
"988321667522629683",schlampe
"988321667522629683",nigger
"988321667522629683",mistgeburt
"988321667522629683",missgeburt
"988321667522629683",neger
"978345087912280104",Hurensohn
"978345087912280104",Ich Ficke deine Mutter
"978345087912280104",Schwuchtel
"978345087912280104",Bastard
"978345087912280104",Leruto
"1100073942519140423",hurensohn
"1100073942519140423",arschloch
"1100073942519140423",Arschlöcher
"1100073942519140423",Nuttensohn
"1100073942519140423",negga
"1100073942519140423",nigger
"1100073942519140423",Bastard
"1100073942519140423",wixxer
"1061392171074334794",@everyone
"1061392171074334794",Valo
"1061392171074334794",slay
"1103403786313154700",Valo
"1097479709140455495",hs
"1097479709140455495",hurensohn
"1097479709140455495",neger
"1097479709140455495",nutte
"937398557286228010",Hurensohn
"937398557286228010",nigga
"937398557286228010",nigger
"937398557286228010",Bastard
"937398557286228010",Neger
"937398557286228010",Nega
"937398557286228010",Missgeburt
"937398557286228010",Nuttensohn
"937398557286228010",Nutten Sohn
"937398557286228010",Motherfucker
"937398557286228010",Nutte
"937398557286228010",Lutsch meine Eier
"937398557286228010",Eierlutschen
"937398557286228010",Blowjob
"937398557286228010",Blas mir ein
"937398557286228010",Blasen
"937398557286228010",AMK
"937398557286228010",PENIS SCHWANZ LUTSCHENDER MUTTERSHIHN DU KLEINE HUHRE IC HFICK DEINE MUTTER SO HART ANAL NIGGER NIGGER NIGGER SCHWANZ PENIS LUUTSCHENDER ARSCHANALGEFICKTER PENISLUTSCHER [NYG] Johannes Berger — gestern um 21:53 Uhr
"937398557286228010",Bitch
"1023249968703741992",Nigga
"1023249968703741992",Nigger
"1023249968703741992",Niggas
"1023249968703741992",Hurensohn
"1023249968703741992",Hure
"1023249968703741992",Huren
"1023249968703741992",Bastard
"1023249968703741992",Wixxer
"768228694736371732",Test1
"768228694736371732",Test2
"768228694736371732",Test3
"768228694736371732",Test4
"1084192787198640139",hitler
"1084192787198640139",h!tler
